run,chunk_size,batch_size,num_docs,num_chunks,total_size_bytes,parsing_time,embedding_time,insertion_time,total_time,chunks_per_second,bytes_per_second,docs_per_second
1,256,50,10,153,30497,0.00018286705017089844,0.3280472755432129,1.1404669284820557,1.5207250118255615,100.60990567672089,20054.250283810175,6.575810828543849
1,256,50,20,387,78405,0.0009107589721679688,0.3071432113647461,1.158341884613037,1.528700828552246,253.15613936476228,51288.64885502374,13.083004618333968
1,256,100,10,153,30497,0.00027489662170410156,0.15520787239074707,1.0833652019500732,1.5248150825500488,100.34003581872237,20000.457989304417,6.558172275733488
1,256,100,20,387,78405,0.0006778240203857422,0.3078181743621826,1.160552978515625,1.530885934829712,252.79479757128212,51215.442128104325,13.064330623838869
1,512,50,10,153,30497,0.00023889541625976562,0.13097023963928223,1.0994360446929932,1.5339851379394531,99.7402101336649,19880.89665651228,6.518967982592478
1,512,50,20,387,78405,0.0006561279296875,0.25649404525756836,1.1670691967010498,1.5330140590667725,252.4438688028651,51144.34504777426,13.046194770173907
1,512,100,10,153,30497,0.0002770423889160156,0.11544394493103027,1.0941617488861084,1.5280702114105225,100.12628926178047,19957.852572656986,6.544201912534671
1,512,100,20,387,78405,0.0006680488586425781,0.2626359462738037,1.1365537643432617,1.528536081314087,253.18342480165398,51294.17679993199,13.08441471843173
1,1024,50,10,153,30497,0.0002849102020263672,0.1328139305114746,1.098073959350586,1.5217351913452148,100.54311740319805,20040.937591145957,6.57144558190837
1,1024,50,20,387,78405,0.0006561279296875,0.26309800148010254,1.1356861591339111,1.5130209922790527,255.7796633191881,51820.16667323241,13.218587251637627
1,1024,100,10,153,30497,0.0003249645233154297,0.1208658218383789,1.092839002609253,1.5204792022705078,100.6261708621384,20057.49237112833,6.576873912558065
1,1024,100,20,387,78405,0.0006659030914306641,0.26961421966552734,1.1536908149719238,1.532498836517334,252.52873984522773,51161.539657790905,13.050580870554404
