run,chunk_size,batch_size,num_docs,num_chunks,total_size_bytes,parsing_time,embedding_time,insertion_time,total_time,chunks_per_second,bytes_per_second,docs_per_second
1,256,50,10,153,30497,0.00032401084899902344,0.34955596923828125,1.1528000831604004,1.517707109451294,100.80996461518524,20094.12739130264,6.588886576155898
1,256,50,20,387,78405,0.0010118484497070312,0.2804243564605713,1.149167776107788,1.5161340236663818,255.25447879874076,51713.765917868914,13.191445932751462
1,256,100,10,153,30497,0.0001742839813232422,0.15147018432617188,1.1062681674957275,1.5178990364074707,100.79721795075183,20091.58663950378,6.588053460833453
1,256,100,20,387,78405,0.0005891323089599609,0.3149099349975586,1.1383249759674072,1.5196361541748047,254.66622318560812,51594.58715469665,13.16104512587122
1,512,50,10,153,30497,0.0003330707550048828,0.13286614418029785,1.083644151687622,1.5187318325042725,100.74194582970894,20080.56942463159,6.584440903902545
1,512,50,20,387,78405,0.0006110668182373047,0.272083044052124,1.130169153213501,1.517615795135498,255.0052531348669,51663.273571160826,13.178566053481495
1,512,100,10,153,30497,0.00026679039001464844,0.1238410472869873,1.0902447700500488,1.5265820026397705,100.22389870667406,19977.308750702214,6.550581614815298
1,512,100,20,387,78405,0.0005710124969482422,0.27313899993896484,1.137941837310791,1.5165209770202637,255.18934842589317,51700.570706284634,13.188080022009983
1,1024,50,10,153,30497,0.0003802776336669922,0.12572312355041504,1.0833730697631836,1.5153567790985107,100.96632166783856,20125.29354185668,6.599105991361997
1,1024,50,20,387,78405,0.0006473064422607422,0.26482200622558594,1.1438379287719727,1.5262439250946045,253.56366281753537,51371.21184291695,13.104065261888133
1,1024,100,10,153,30497,0.0002696514129638672,0.13474202156066895,1.108518123626709,1.5194101333618164,100.69697222663328,20071.60498036363,6.581501452721129
1,1024,100,20,387,78405,0.0006608963012695312,0.26380014419555664,1.1637132167816162,1.5158607959747314,255.30048737169867,51723.08711208794,13.193823636780293
